type,director,cast,country,release_year,rating,duration,listed_in,duration_value,duration_type
movie,neill blomkamp,"sharlto copley, hugh jackman, sigourney weaver, dev patel, ninja, yo-landi visser, jose pablo cantillo, brandon auret, johnny selema, maurice carpede","south africa, united states",2015,r,121 min,"action & adventure, sci-fi & fantasy",121.0,min
movie,phillip noyce,"harrison ford, willem dafoe, anne archer, joaquim de almeida, henry czerny, harris yulin, donald moffat, miguel sandoval, benjamin bratt, dean jones, thora birch, james earl jones, raymond cruz","united states, mexico",1994,pg-13,142 min,"action & adventure, dramas",142.0,min
movie,renny harlin,"sylvester stallone, john lithgow, michael rooker, janine turner, rex linn, caroline goodall, leon, craig fairbrass, ralph waite, max perlich, paul winfield","united states, italy, france, japan",1993,r,113 min,action & adventure,113.0,min
movie,anthony minghella,"jude law, nicole kidman, renée zellweger, eileen atkins, brendan gleeson, philip seymour hoffman, natalie portman, giovanni ribisi, donald sutherland, ray winstone","united states, italy, romania, united kingdom",2003,r,154 min,"dramas, romantic movies",154.0,min
movie,simon wincer,"paul hogan, linda kozlowski, jere burns, jonathan banks, aida turturro, alec wilson, gerry skilton, steve rackman, serge cockburn, paul rodriguez, mark adair-rios, tiriel mora, grant piro, mike tyson","australia, united states",2001,pg,95 min,"action & adventure, comedies",95.0,min
movie,lasse hallström,"channing tatum, amanda seyfried, richard jenkins, henry thomas, d.j. cotrona, cullen moss, gavin mcculley, jose lucena jr., keith robinson, scott porter",united states,2010,pg-13,108 min,"dramas, romantic movies",108.0,min
movie,spike lee,"danny aiello, ossie davis, ruby dee, richard edson, giancarlo esposito, spike lee, bill nunn, john turturro, paul benjamin, frankie faison, samuel l. jackson, rosie perez, martin lawrence, miguel sandoval",united states,1989,r,120 min,"classic movies, comedies, dramas",120.0,min
movie,sebastián schindel,"joaquín furriel, luis ziembrowski, guillermo pfening, mónica lairana, germán de silva, victoria raposo, andrea garrote","argentina, venezuela",2014,tv-ma,100 min,"dramas, international movies, thrillers",100.0,min
movie,steven c. miller,"bruce willis, kellan lutz, gina carano, d.b. sweeney, joshua mikel, steve coulter, dan bilzerian, heather johansen","united states, united kingdom, canada",2015,r,82 min,action & adventure,82.0,min
movie,richard lagravenese,"hilary swank, patrick dempsey, scott glenn, imelda staunton, april l. hernandez, mario, kristin herrera, jaclyn ngan, sergio montalvo, jason finn, deance wyatt, vanetta smith","germany, united states",2007,pg-13,124 min,dramas,124.0,min
movie,martin campbell,"ryan reynolds, blake lively, peter sarsgaard, mark strong, tim robbins, jay o. sanders, taika waititi, angela bassett",united states,2011,pg-13,114 min,"action & adventure, sci-fi & fantasy",114.0,min
movie,reginald hudlin,"christopher reid, christopher martin, robin harris, tisha campbell, a.j. johnson, martin lawrence, paul anthony, bowlegged lou, b-fine, edith fields, kelly jo minter, clifton powell, verda bridges",united states,1990,r,104 min,"comedies, cult movies",104.0,min
movie,"george jackson, doug mchenry","christopher reid, christopher martin, martin lawrence, bowlegged lou, paul anthony, b-fine, tisha campbell, kamron, iman, queen latifah",united states,1991,r,94 min,"comedies, cult movies, music & musicals",94.0,min
movie,eric meza,"christopher reid, christopher martin, tisha campbell, david edwards, angela means, ketty lester, bernie mac, michael colyar, chris tucker, khandi alexander",united states,1994,r,94 min,"comedies, music & musicals",94.0,min
tv show,unknown,unknown,unknown,2021,tv-pg,1 Season,reality tv,1.0,season
tv show,gerhard mostert,"hakeem kae-kazim, chioma omeruah, orukotan adejola, flora chiedo, emeka nwagbaraocha, anthony oseyemi, oluwabukola thomas, soibifaa dokubo",unknown,2020,tv-14,1 Season,tv shows,1.0,season
movie,michael martin,"master p, anthony johnson, gretchen palmer, frantz turner, richard keats, joe estevez, william knight, anthony boswell, tommy 'tiny' lister, helen martin, john witherspoon, mia x",united states,1998,r,93 min,"action & adventure, comedies",93.0,min
movie,michael rymer,"omar epps, ll cool j, nia long, stanley tucci, pam grier, hill harper, jake weber, david patrick kelly, veronica webb, ron canada, robert lasardo, gano grills, ivonne coll, don harvey, mya, nasir 'nas' jones, jermaine dupri",united states,1999,r,97 min,thrillers,97.0,min
movie,"andrew lau wai-keung, alan mak","jay chou, anne suzuki, edison chen, anthony wong chau-sang, shawn yue, chapman to, jordan chan, kenny bee","china, hong kong",2005,tv-14,109 min,"action & adventure, international movies",109.0,min
movie,brett weiner,"jai brooks, luke brooks, james yammouni, daniel sahyounie, beau brooks",united states,2016,tv-ma,88 min,comedies,88.0,min
tv show,unknown,"lori gardner, kate bristol, billy bob thompson, marc thompson, erica schroeder",russia,2016,tv-y,2 Seasons,kids' tv,2.0,season
tv show,unknown,"kensho ono, yuki ono, chiwa saito, yoshimasa hosoya, hirofumi nojima, kenji hamada, takuya eguchi, soichiro hoshi, tatsuhisa suzuki, go inoue, daisuke ono, ryohei kimura, junichi suwabe, kazuya nakai, fumiko orikasa, kenichi suzumura, kisho taniyama, hiroshi kamiya",japan,2015,tv-ma,3 Seasons,"anime series, international tv shows, teen tv shows",3.0,season
movie,jim henson,"david bowie, jennifer connelly, frank oz, kevin clash, anthony asbury, dave goelz, brian henson, ron mueck, karen prell, shari weiser","united kingdom, united states",1986,pg,101 min,"action & adventure, children & family movies, cult movies",101.0,min
movie,gary winick,"amanda seyfried, christopher egan, gael garcía bernal, vanessa redgrave, franco nero, luisa ranieri, marina massironi, milena vukotic, marcia debonis, luisa de santis, lidia biondi, giordano formenti, chris egan",united states,2010,pg,105 min,"comedies, dramas, romantic movies",105.0,min
movie,danishka esterhazy,"katie douglas, celina martin, peter outerbridge, sara canning, alexis whelan, amalia williamson, josette halpert, kiana madeira",canada,2018,tv-14,102 min,"sci-fi & fantasy, thrillers",102.0,min
movie,troy byer,"nick cannon, christina milian, kenan thompson, kal penn, steve harvey, al thompson, ashley monique clark, elimu nelson, nichole robinson, melissa schuman",united states,2003,pg-13,101 min,"comedies, romantic movies",101.0,min
movie,pang ho-cheung,"miriam chin wah yeung, shawn yue, singh hartihan bitto, isabel chan, cheung tat-ming, matt chow, chui tien-you, queenie chu, charmaine fong, vincent kok",hong kong,2010,tv-ma,103 min,"comedies, dramas, international movies",103.0,min
tv show,unknown,"gerald mcraney, shanna reed, nicole dubuc, chelsea hertford, marisa ryan, matt mulhern, beverly archer, jon cypher",united states,1992,tv-pg,4 Seasons,tv comedies,4.0,season
movie,tim burton,"jack nicholson, glenn close, annette bening, pierce brosnan, danny devito, martin short, sarah jessica parker, michael j. fox, rod steiger, tom jones, lukas haas, natalie portman",united states,1996,pg-13,106 min,"comedies, cult movies, sci-fi & fantasy",106.0,min
movie,reginald hudlin,"chadwick boseman, josh gad, kate hudson, sterling k. brown, dan stevens, james cromwell, keesha sharp, roger guenveur smith, derrick baskin, barrett doss","united states, china, hong kong",2017,pg-13,118 min,dramas,118.0,min
movie,david zucker,"ashton kutcher, tara reid, jeffrey tambor, andy richter, michael madsen, jon abrahams, david koechner, carmen electra, kenan thompson, terence stamp, molly shannon",united states,2003,r,86 min,"comedies, romantic movies",86.0,min
movie,kinka usher,"ben stiller, hank azaria, william h. macy, janeane garofalo, kel mitchell, paul reubens, wes studi, greg kinnear, geoffrey rush, lena olin, eddie izzard, artie lange, pras, claire forlani, tom waits",united states,1999,pg-13,121 min,"action & adventure, comedies",121.0,min
tv show,unknown,"patricio contreras, alejandro goic, sergio hernández, mariana loyola ruz, alejandro trejo, daniel alcaíno cuevas, nicolás poblete, susana hidalgo, gloria münchmeyer",unknown,2019,tv-ma,1 Season,"crime tv shows, international tv shows, spanish-language tv shows",1.0,season
movie,sergio leone,"robert de niro, james woods, elizabeth mcgovern, treat williams, tuesday weld, burt young, joe pesci, danny aiello, william forsythe, james hayden","italy, united states",1984,r,229 min,"classic movies, dramas",229.0,min
movie,"matthew o'callaghan, todd wilderman","joel mchale, mike epps, jane krakowski, billy connolly, crispin glover, steve schirripa, georgia engel, diedrich bader, cody cameron, fred stoller, olivia hack","united states, canada",2008,pg,76 min,"children & family movies, comedies",76.0,min
movie,"bobby farrelly, peter farrelly","chris rock, laurence fishburne, david hyde pierce, brandy norwood, william shatner, ron howard, kid rock, ben stein",united states,2001,pg,95 min,"action & adventure, children & family movies, comedies",95.0,min
movie,wolfgang petersen,"josh lucas, kurt russell, jacinda barrett, richard dreyfuss, emmy rossum, mía maestro, mike vogel, kevin dillon, freddy rodríguez",united states,2006,pg-13,98 min,"action & adventure, dramas",98.0,min
movie,peter spirer,"too $hort, b-real, kurtis blow, da brat, grandmaster caz, sean ""p. diddy"" combs, chuck d., desiree densiti, dr. dre, e-40, mc eiht, heavy d, lauryn hill, ice-t, wyclef jean, ras kass, krs-one, l.v., mack 10, craig mack, method man, keith murray, nasir 'nas' jones, the notorious b.i.g., master p, q-tip, raekwon, redman, senen reyes, busta rhymes, rza, dj scratch, erick sermon, tupac shakur, adario strange, suave",united states,1997,r,89 min,"documentaries, music & musicals",89.0,min
movie,michael carney,"greg kinnear, renée zellweger, djimon hounsou, jon voight, olivia holt",united states,2017,pg-13,120 min,"dramas, faith & spirituality",120.0,min
movie,richard linklater,"jack black, joan cusack, mike white, sarah silverman, lee wilkof, kate mcgregor-stewart, adam pascal, suzzanne douglas, miranda cosgrove, kevin alexander clark, joey gaydos jr., robert tsai, veronica afflerbach, jordan-claire green","united states, germany",2003,pg-13,110 min,"comedies, music & musicals",110.0,min
movie,amy rice,tyler oakley,united states,2015,pg-13,83 min,"documentaries, lgbtq movies",83.0,min
movie,antoine fuqua,"bruce willis, monica bellucci, cole hauser, eamonn walker, johnny messner, nick chinlund, charles ingram, paul francis, chad smith, tom skerritt, malick bowens, awaovieyi agie",united states,2003,r,121 min,"action & adventure, dramas",121.0,min
movie,randal kleiser,"brooke shields, christopher atkins, leo mckern, william daniels, elva josephson, glenn kohan, alan hopgood, gus mercurio",united states,1980,r,105 min,"dramas, romantic movies",105.0,min
movie,michael ritchie,"eddie murphy, j.l. reate, charles dance, charlotte lewis, victor wong, randall tex cobb, james hong, shakti chen, tau logo, tiger chung lee",united states,1986,pg-13,94 min,"action & adventure, comedies",94.0,min
movie,j. lee thompson,"gregory peck, david niven, anthony quinn, stanley baker, anthony quayle, james darren, irene papas, gia scala, james robertson justice, richard harris","united kingdom, united states",1961,tv-14,156 min,"action & adventure, classic movies",156.0,min
movie,"evan goldberg, seth rogen","james franco, seth rogen, lizzy caplan, randall park, diana bang, timothy simons, reese alexander, james yi",united states,2014,r,112 min,"action & adventure, comedies",112.0,min
movie,tom shadyac,"eddie murphy, jada pinkett smith, james coburn, larry miller, dave chappelle, john ales, patricia wilson, jamal mixon",united states,1996,pg-13,95 min,"comedies, romantic movies",95.0,min
movie,peter segal,"eddie murphy, janet jackson, larry miller, john ales, richard gant, anna maria horsford, melinda mcgraw, jamal mixon, gabriel williams, chris elliott",unknown,2000,pg-13,107 min,"comedies, romantic movies",107.0,min
tv show,unknown,unknown,unknown,2021,tv-14,1 Season,docuseries,1.0,season
movie,malcolm d. lee,"martin lawrence, james earl jones, joy bryant, margaret avery, mike epps, mo'nique, cedric the entertainer, nicole ari parker, michael clarke duncan, louis c.k.",united states,2008,pg-13,114 min,comedies,114.0,min
movie,wolfgang petersen,"clint eastwood, john malkovich, rene russo, dylan mcdermott, gary cole, fred thompson, john mahoney, gregory alan williams, jim curley, sally hughes",united states,1993,r,129 min,"action & adventure, classic movies",129.0,min
tv show,unknown,marie kondo,united states,2021,tv-pg,1 Season,reality tv,1.0,season
movie,"chapman way, maclain way",unknown,unknown,2021,tv-ma,86 min,"documentaries, sports movies",86.0,min
tv show,unknown,"shin min-a, kim seon-ho, lee sang-yi, gong min-jeung, kim young-ok, cho han-cheul, in gyo-jin, lee bong-ryeon, cha cheong-hwa, kang hyung-suk",unknown,2021,tv-14,1 Season,"international tv shows, romantic tv shows, tv comedies",1.0,season
tv show,unknown,kenjiro tsuda,unknown,2021,tv-g,1 Season,"international tv shows, tv comedies",1.0,season
movie,"ramzy bedia, éric judor","ramzy bedia, éric judor, benoît magimel, kristin scott thomas, élodie bouchez, édouard baer, fred testot, omar sy",france,2008,tv-ma,97 min,"comedies, international movies",97.0,min
tv show,unknown,"um sang-hyun, park yoon-hee, kang shi-hyun, hong bum-ki, kim hyun-wook, lee in-suk, song ha-rim",unknown,2020,tv-y,2 Seasons,"kids' tv, tv comedies",2.0,season
movie,sharan koppisetty,"satya dev, priyanka jawalkar, brahmaji",india,2021,tv-14,125 min,"dramas, international movies",125.0,min
movie,taylor sheridan,"jeremy renner, elizabeth olsen, jon bernthal, gil birmingham, kelsey asbille, tantoo cardinal, teo briones, matthew del negro, hugh dillon, julia jones, james jordan, eric lange, martin sensmeier, mason davis, graham greene","united kingdom, canada, united states",2017,r,107 min,"dramas, independent movies",107.0,min
movie,sachin yardi,"mithun chakraborty, tusshar kapoor, anupam kher, rajpal yadav, raima sen, dilip prabhavalkar, sanjay mishra",india,2008,tv-14,127 min,"action & adventure, comedies, international movies",127.0,min
tv show,unknown,"jung hae-in, koo kyo-hwan, kim sung-kyun, son suk-ku",", south korea",2021,tv-ma,1 Season,"international tv shows, tv dramas",1.0,season
tv show,unknown,"frank ramirez, patricia castañeda, chela del río, patrick delmas, maría josé martínez, robinson díaz, juan ángel, guillermo olarte, constanza duque, marcela carvajal",unknown,2002,tv-ma,1 Season,"international tv shows, spanish-language tv shows, tv dramas",1.0,season
movie,saurabh kabra,"sanjay dutt, arjun rampal, malaika arora, aashish chaudhary, neha uberoi, urmila matondkar, manoj joshi, daya shankar pandey, pushkar jog, kulbhushan kharbanda",india,2008,tv-14,128 min,"comedies, dramas, international movies",128.0,min
movie,mark waters,"addison rae, tanner buchanan, rachael leigh cook, madison pettis, isabella crovetti, matthew lillard, peyton meyer, annie jacob, myra molloy, kourtney kardashian",unknown,2021,tv-14,92 min,"comedies, romantic movies",92.0,min
tv show,unknown,"michael j. woodard, mary lambert, jonathan van ness, haley tju, brett gelman, tony hale, vincent rodriguez iii, annie potts, jessica williams, melissa villaseñor, cathy vu, jennifer coolidge, flea",unknown,2021,tv-y7,1 Season,"kids' tv, tv comedies",1.0,season
tv show,kemi adetiba,"sola sobowale, toni tones, richard mofe-damijo, efa iwara, titi kuti, tobechukwu ""illbliss"" ejiofor, remilekun ""reminisce"" safaru, charles ""charly boy"" oputa, nse ikpe-etim, keppy ekpenyong bassey, bimbo manuel, akin lewis, lord frank, osas ighodaro, taiwo ajai-lycett, paul sambo",nigeria,2021,tv-ma,1 Season,"crime tv shows, international tv shows, tv dramas",1.0,season
